T00h	T02h	T06h	T12h	T18h	T24h
ENSMUSG00000059890	ENSMUSG00000037868	ENSMUSG00000032298	ENSMUSG00000029528	ENSMUSG00000026429	ENSMUSG00000025024
ENSMUSG00000060057	ENSMUSG00000037999	ENSMUSG00000032311	ENSMUSG00000029570	ENSMUSG00000026470	ENSMUSG00000025064
ENSMUSG00000060735	ENSMUSG00000038011	ENSMUSG00000032356	ENSMUSG00000029602	ENSMUSG00000026496	ENSMUSG00000025142
ENSMUSG00000060742	ENSMUSG00000038296	ENSMUSG00000032396	ENSMUSG00000029646	ENSMUSG00000026600	ENSMUSG00000025144
ENSMUSG00000061559	ENSMUSG00000038299	ENSMUSG00000032440	ENSMUSG00000029647	ENSMUSG00000026700	ENSMUSG00000025158
ENSMUSG00000061983	ENSMUSG00000038644	ENSMUSG00000032459	ENSMUSG00000029684	ENSMUSG00000026768	ENSMUSG00000025208
ENSMUSG00000062997	ENSMUSG00000038780	ENSMUSG00000032477	ENSMUSG00000029761	ENSMUSG00000026828	ENSMUSG00000025232
ENSMUSG00000063316	ENSMUSG00000038784	ENSMUSG00000032498	ENSMUSG00000029859	ENSMUSG00000026856	ENSMUSG00000025348
ENSMUSG00000064110	ENSMUSG00000038880	ENSMUSG00000032512	ENSMUSG00000029864	ENSMUSG00000026985	ENSMUSG00000025362
ENSMUSG00000064121	ENSMUSG00000038900	ENSMUSG00000032563	ENSMUSG00000029998	ENSMUSG00000026994	ENSMUSG00000025369
ENSMUSG00000065040	ENSMUSG00000039001	ENSMUSG00000032566	ENSMUSG00000030034	ENSMUSG00000027323	ENSMUSG00000025400
ENSMUSG00000065049	ENSMUSG00000039037	ENSMUSG00000032649	ENSMUSG00000030043	ENSMUSG00000027342	ENSMUSG00000025409
ENSMUSG00000066392	ENSMUSG00000039187	ENSMUSG00000032796	ENSMUSG00000030045	ENSMUSG00000027374	ENSMUSG00000025410
ENSMUSG00000067186	ENSMUSG00000039193	ENSMUSG00000032808	ENSMUSG00000030074	ENSMUSG00000027433	ENSMUSG00000025508
ENSMUSG00000067543	ENSMUSG00000039307	ENSMUSG00000033166	ENSMUSG00000030154	ENSMUSG00000027536	ENSMUSG00000025646
ENSMUSG00000067629	ENSMUSG00000039396	ENSMUSG00000033220	ENSMUSG00000030162	ENSMUSG00000027568	ENSMUSG00000025743
ENSMUSG00000069662	ENSMUSG00000039497	ENSMUSG00000033458	ENSMUSG00000030172	ENSMUSG00000027605	ENSMUSG00000025759
ENSMUSG00000071522	ENSMUSG00000039639	ENSMUSG00000033970	ENSMUSG00000030268	ENSMUSG00000027752	ENSMUSG00000025794
ENSMUSG00000073931	ENSMUSG00000039653	ENSMUSG00000034040	ENSMUSG00000030271	ENSMUSG00000027770	ENSMUSG00000025804
ENSMUSG00000074254	ENSMUSG00000039682	ENSMUSG00000034192	ENSMUSG00000030335	ENSMUSG00000027796	ENSMUSG00000025867
ENSMUSG00000074764	ENSMUSG00000039738	ENSMUSG00000034266	ENSMUSG00000030340	ENSMUSG00000028059	ENSMUSG00000025876
ENSMUSG00000075384	ENSMUSG00000039760	ENSMUSG00000034321	ENSMUSG00000030342	ENSMUSG00000028081	ENSMUSG00000026011
ENSMUSG00000075703	ENSMUSG00000039910	ENSMUSG00000034354	ENSMUSG00000030432	ENSMUSG00000028086	ENSMUSG00000026082
ENSMUSG00000078853	ENSMUSG00000040009	ENSMUSG00000034612	ENSMUSG00000030513	ENSMUSG00000028107	ENSMUSG00000026113
ENSMUSG00000079435	ENSMUSG00000040016	ENSMUSG00000034674	ENSMUSG00000030528	ENSMUSG00000028140	ENSMUSG00000026155
ENSMUSG00000079853	ENSMUSG00000040181	ENSMUSG00000034729	ENSMUSG00000030560	ENSMUSG00000028158	ENSMUSG00000026156
ENSMUSG00000080932	ENSMUSG00000040264	ENSMUSG00000034732	ENSMUSG00000030603	ENSMUSG00000028164	ENSMUSG00000026173
ENSMUSG00000082151	ENSMUSG00000040314	ENSMUSG00000034880	ENSMUSG00000030612	ENSMUSG00000028207	ENSMUSG00000026174
ENSMUSG00000082260	ENSMUSG00000040329	ENSMUSG00000034892	ENSMUSG00000030652	ENSMUSG00000028322	ENSMUSG00000026285
ENSMUSG00000082769	ENSMUSG00000040385	ENSMUSG00000034932	ENSMUSG00000030657	ENSMUSG00000028334	ENSMUSG00000026289
ENSMUSG00000083079	ENSMUSG00000040481	ENSMUSG00000034994	ENSMUSG00000030726	ENSMUSG00000028344	ENSMUSG00000026304
ENSMUSG00000084569	ENSMUSG00000041238	ENSMUSG00000035031	ENSMUSG00000030761	ENSMUSG00000028413	ENSMUSG00000026414
ENSMUSG00000087412	ENSMUSG00000041408	ENSMUSG00000035367	ENSMUSG00000030814	ENSMUSG00000028416	ENSMUSG00000026429
ENSMUSG00000090035	ENSMUSG00000041453	ENSMUSG00000035441	ENSMUSG00000030871	ENSMUSG00000028430	ENSMUSG00000026470
ENSMUSG00000090137	ENSMUSG00000041477	ENSMUSG00000035632	ENSMUSG00000031007	ENSMUSG00000028453	ENSMUSG00000026496
ENSMUSG00000091086	ENSMUSG00000041958	ENSMUSG00000035649	ENSMUSG00000031209	ENSMUSG00000028467	ENSMUSG00000026600
ENSMUSG00000091625	ENSMUSG00000041959	ENSMUSG00000035653	ENSMUSG00000031461	ENSMUSG00000028622	ENSMUSG00000026700
ENSMUSG00000093990	ENSMUSG00000042032	ENSMUSG00000035772	ENSMUSG00000031488	ENSMUSG00000028633	ENSMUSG00000026768
ENSMUSG00000095483	ENSMUSG00000042042	ENSMUSG00000035783	ENSMUSG00000031520	ENSMUSG00000028636	ENSMUSG00000026828
ENSMUSG00000095524	ENSMUSG00000042248	ENSMUSG00000035960	ENSMUSG00000031521	ENSMUSG00000028680	ENSMUSG00000026856
ENSMUSG00000095847	ENSMUSG00000042428	ENSMUSG00000036023	ENSMUSG00000031536	ENSMUSG00000028736	ENSMUSG00000026872
ENSMUSG00000096427	ENSMUSG00000042460	ENSMUSG00000036091	ENSMUSG00000031608	ENSMUSG00000028800	ENSMUSG00000026985
ENSMUSG00000096914	ENSMUSG00000042745	ENSMUSG00000036197	ENSMUSG00000031683	ENSMUSG00000028861	ENSMUSG00000026994
ENSMUSG00000100751	ENSMUSG00000043463	ENSMUSG00000036270	ENSMUSG00000031767	ENSMUSG00000028884	ENSMUSG00000027323
ENSMUSG00000101874	ENSMUSG00000044147	ENSMUSG00000036860	ENSMUSG00000031848	ENSMUSG00000028936	ENSMUSG00000027342
ENSMUSG00000109058	ENSMUSG00000044155	ENSMUSG00000037280	ENSMUSG00000031913	ENSMUSG00000029072	ENSMUSG00000027374
ENSMUSG00000110648	ENSMUSG00000044487	ENSMUSG00000037296	ENSMUSG00000032040	ENSMUSG00000029082	ENSMUSG00000027433
ENSMUSG00000111338	ENSMUSG00000044533	ENSMUSG00000037416	ENSMUSG00000032056	ENSMUSG00000029119	ENSMUSG00000027452
ENSMUSG00000112051	ENSMUSG00000044702	ENSMUSG00000037573	ENSMUSG00000032086	ENSMUSG00000029156	ENSMUSG00000027536
ENSMUSG00000112690	ENSMUSG00000045871	ENSMUSG00000037740	ENSMUSG00000032192	ENSMUSG00000029245	ENSMUSG00000027568
ENSMUSG00000112697	ENSMUSG00000045948	ENSMUSG00000037752	ENSMUSG00000032215	ENSMUSG00000029330	ENSMUSG00000027605
ENSMUSG00000112740	ENSMUSG00000046020	ENSMUSG00000037772	ENSMUSG00000032226	ENSMUSG00000029363	ENSMUSG00000027752
ENSMUSG00000116648	ENSMUSG00000046334	ENSMUSG00000037999	ENSMUSG00000032269	ENSMUSG00000029486	ENSMUSG00000027770
ENSMUSG00000118708	ENSMUSG00000046756	ENSMUSG00000038011	ENSMUSG00000032298	ENSMUSG00000029528	ENSMUSG00000027796
ENSMUSG00000118770	ENSMUSG00000047434	ENSMUSG00000038213	ENSMUSG00000032311	ENSMUSG00000029570	ENSMUSG00000028059
ENSMUSG00000118781	ENSMUSG00000047712	ENSMUSG00000038295	ENSMUSG00000032396	ENSMUSG00000029591	ENSMUSG00000028081
ENSMUSG00000118796	ENSMUSG00000048076	ENSMUSG00000038300	ENSMUSG00000032399	ENSMUSG00000029602	ENSMUSG00000028086
ENSMUSG00000118860	ENSMUSG00000048810	ENSMUSG00000038580	ENSMUSG00000032410	ENSMUSG00000029646	ENSMUSG00000028107
ENSMUSG00000118880	ENSMUSG00000048970	ENSMUSG00000038718	ENSMUSG00000032440	ENSMUSG00000029647	ENSMUSG00000028140
ENSMUSG00000118922	ENSMUSG00000049517	ENSMUSG00000038777	ENSMUSG00000032454	ENSMUSG00000029684	ENSMUSG00000028158
ENSMUSG00000118977	ENSMUSG00000049926	ENSMUSG00000038780	ENSMUSG00000032459	ENSMUSG00000029711	ENSMUSG00000028164
ENSMUSG00000119194	ENSMUSG00000050654	ENSMUSG00000038784	ENSMUSG00000032477	ENSMUSG00000029761	ENSMUSG00000028207
ENSMUSG00000119280	ENSMUSG00000050796	ENSMUSG00000038843	ENSMUSG00000032498	ENSMUSG00000029864	ENSMUSG00000028322
ENSMUSG00000119430	ENSMUSG00000050978	ENSMUSG00000038871	ENSMUSG00000032518	ENSMUSG00000029918	ENSMUSG00000028334
ENSMUSG00000119467	ENSMUSG00000051156	ENSMUSG00000038900	ENSMUSG00000032563	ENSMUSG00000029998	ENSMUSG00000028344
ENSMUSG00000119471	ENSMUSG00000051424	ENSMUSG00000039001	ENSMUSG00000032565	ENSMUSG00000030043	ENSMUSG00000028394
ENSMUSG00000119493	ENSMUSG00000051483	ENSMUSG00000039037	ENSMUSG00000032566	ENSMUSG00000030045	ENSMUSG00000028413
ENSMUSG00000119546	ENSMUSG00000052270	ENSMUSG00000039055	ENSMUSG00000032796	ENSMUSG00000030154	ENSMUSG00000028416
ENSMUSG00000119552	ENSMUSG00000052273	ENSMUSG00000039193	ENSMUSG00000032808	ENSMUSG00000030162	ENSMUSG00000028430
ENSMUSG00000119562	ENSMUSG00000052544	ENSMUSG00000039209	ENSMUSG00000032869	ENSMUSG00000030170	ENSMUSG00000028453
ENSMUSG00000119584	ENSMUSG00000054136	ENSMUSG00000039221	ENSMUSG00000033065	ENSMUSG00000030172	ENSMUSG00000028467
ENSMUSG00000119587	ENSMUSG00000054312	ENSMUSG00000039358	ENSMUSG00000033166	ENSMUSG00000030268	ENSMUSG00000028622
ENSMUSG00000119745	ENSMUSG00000054477	ENSMUSG00000039396	ENSMUSG00000033220	ENSMUSG00000030271	ENSMUSG00000028633
ENSMUSG00000119748	ENSMUSG00000054509	ENSMUSG00000039497	ENSMUSG00000033458	ENSMUSG00000030340	ENSMUSG00000028636
ENSMUSG00000121797	ENSMUSG00000054582	ENSMUSG00000039509	ENSMUSG00000033470	ENSMUSG00000030432	ENSMUSG00000028680
	ENSMUSG00000056167	ENSMUSG00000039639	ENSMUSG00000033970	ENSMUSG00000030513	ENSMUSG00000028736
	ENSMUSG00000056749	ENSMUSG00000039653	ENSMUSG00000033991	ENSMUSG00000030528	ENSMUSG00000028800
	ENSMUSG00000057130	ENSMUSG00000039680	ENSMUSG00000034000	ENSMUSG00000030560	ENSMUSG00000028861
	ENSMUSG00000057244	ENSMUSG00000039738	ENSMUSG00000034040	ENSMUSG00000030603	ENSMUSG00000028884
	ENSMUSG00000057388	ENSMUSG00000039774	ENSMUSG00000034160	ENSMUSG00000030612	ENSMUSG00000028936
	ENSMUSG00000057637	ENSMUSG00000039904	ENSMUSG00000034192	ENSMUSG00000030652	ENSMUSG00000028938
	ENSMUSG00000057841	ENSMUSG00000040037	ENSMUSG00000034211	ENSMUSG00000030657	ENSMUSG00000029063
	ENSMUSG00000057863	ENSMUSG00000040112	ENSMUSG00000034259	ENSMUSG00000030744	ENSMUSG00000029072
	ENSMUSG00000058325	ENSMUSG00000040181	ENSMUSG00000034321	ENSMUSG00000030814	ENSMUSG00000029082
	ENSMUSG00000058600	ENSMUSG00000040264	ENSMUSG00000034354	ENSMUSG00000030871	ENSMUSG00000029119
	ENSMUSG00000059070	ENSMUSG00000040329	ENSMUSG00000034674	ENSMUSG00000030930	ENSMUSG00000029156
	ENSMUSG00000059291	ENSMUSG00000040385	ENSMUSG00000034729	ENSMUSG00000031007	ENSMUSG00000029217
	ENSMUSG00000060049	ENSMUSG00000040451	ENSMUSG00000034732	ENSMUSG00000031169	ENSMUSG00000029245
	ENSMUSG00000060600	ENSMUSG00000040481	ENSMUSG00000034807	ENSMUSG00000031196	ENSMUSG00000029330
	ENSMUSG00000060735	ENSMUSG00000040952	ENSMUSG00000034880	ENSMUSG00000031209	ENSMUSG00000029363
	ENSMUSG00000060742	ENSMUSG00000041135	ENSMUSG00000035031	ENSMUSG00000031320	ENSMUSG00000029446
	ENSMUSG00000061474	ENSMUSG00000041147	ENSMUSG00000035239	ENSMUSG00000031444	ENSMUSG00000029486
	ENSMUSG00000061477	ENSMUSG00000041238	ENSMUSG00000035367	ENSMUSG00000031521	ENSMUSG00000029528
	ENSMUSG00000061665	ENSMUSG00000041408	ENSMUSG00000035441	ENSMUSG00000031536	ENSMUSG00000029570
	ENSMUSG00000061787	ENSMUSG00000041429	ENSMUSG00000035632	ENSMUSG00000031601	ENSMUSG00000029591
	ENSMUSG00000061983	ENSMUSG00000041453	ENSMUSG00000035649	ENSMUSG00000031608	ENSMUSG00000029602
	ENSMUSG00000062006	ENSMUSG00000041477	ENSMUSG00000035653	ENSMUSG00000031683	ENSMUSG00000029646
	ENSMUSG00000062121	ENSMUSG00000041616	ENSMUSG00000035770	ENSMUSG00000031749	ENSMUSG00000029647
	ENSMUSG00000062524	ENSMUSG00000041895	ENSMUSG00000035783	ENSMUSG00000031767	ENSMUSG00000029684
	ENSMUSG00000062981	ENSMUSG00000041958	ENSMUSG00000035960	ENSMUSG00000031840	ENSMUSG00000029711
	ENSMUSG00000062997	ENSMUSG00000041959	ENSMUSG00000036023	ENSMUSG00000031913	ENSMUSG00000029761
	ENSMUSG00000063316	ENSMUSG00000042032	ENSMUSG00000036053	ENSMUSG00000032040	ENSMUSG00000029859
	ENSMUSG00000063739	ENSMUSG00000042042	ENSMUSG00000036061	ENSMUSG00000032056	ENSMUSG00000029864
	ENSMUSG00000064632	ENSMUSG00000042185	ENSMUSG00000036197	ENSMUSG00000032086	ENSMUSG00000029918
	ENSMUSG00000064857	ENSMUSG00000042248	ENSMUSG00000036270	ENSMUSG00000032175	ENSMUSG00000029998
	ENSMUSG00000065557	ENSMUSG00000042428	ENSMUSG00000036356	ENSMUSG00000032192	ENSMUSG00000030034
	ENSMUSG00000065815	ENSMUSG00000042460	ENSMUSG00000036402	ENSMUSG00000032215	ENSMUSG00000030043
	ENSMUSG00000066279	ENSMUSG00000042558	ENSMUSG00000036478	ENSMUSG00000032226	ENSMUSG00000030045
	ENSMUSG00000066324	ENSMUSG00000042572	ENSMUSG00000036550	ENSMUSG00000032298	ENSMUSG00000030074
	ENSMUSG00000066475	ENSMUSG00000042745	ENSMUSG00000036779	ENSMUSG00000032311	ENSMUSG00000030154
	ENSMUSG00000067064	ENSMUSG00000043463	ENSMUSG00000036781	ENSMUSG00000032356	ENSMUSG00000030162
	ENSMUSG00000067186	ENSMUSG00000043716	ENSMUSG00000036860	ENSMUSG00000032396	ENSMUSG00000030170
	ENSMUSG00000067288	ENSMUSG00000044018	ENSMUSG00000037169	ENSMUSG00000032399	ENSMUSG00000030172
	ENSMUSG00000067629	ENSMUSG00000044147	ENSMUSG00000037197	ENSMUSG00000032405	ENSMUSG00000030196
	ENSMUSG00000068324	ENSMUSG00000044155	ENSMUSG00000037280	ENSMUSG00000032410	ENSMUSG00000030268
	ENSMUSG00000068457	ENSMUSG00000044533	ENSMUSG00000037296	ENSMUSG00000032440	ENSMUSG00000030271
	ENSMUSG00000068921	ENSMUSG00000045102	ENSMUSG00000037347	ENSMUSG00000032454	ENSMUSG00000030335
	ENSMUSG00000069662	ENSMUSG00000045128	ENSMUSG00000037416	ENSMUSG00000032459	ENSMUSG00000030340
	ENSMUSG00000071000	ENSMUSG00000045594	ENSMUSG00000037531	ENSMUSG00000032477	ENSMUSG00000030342
	ENSMUSG00000071649	ENSMUSG00000045613	ENSMUSG00000037573	ENSMUSG00000032498	ENSMUSG00000030399
	ENSMUSG00000073111	ENSMUSG00000045883	ENSMUSG00000037578	ENSMUSG00000032512	ENSMUSG00000030432
	ENSMUSG00000073435	ENSMUSG00000046020	ENSMUSG00000037583	ENSMUSG00000032518	ENSMUSG00000030513
	ENSMUSG00000073878	ENSMUSG00000046139	ENSMUSG00000037740	ENSMUSG00000032563	ENSMUSG00000030528
	ENSMUSG00000073967	ENSMUSG00000046334	ENSMUSG00000037772	ENSMUSG00000032565	ENSMUSG00000030560
	ENSMUSG00000074254	ENSMUSG00000046652	ENSMUSG00000037868	ENSMUSG00000032566	ENSMUSG00000030603
	ENSMUSG00000074377	ENSMUSG00000046756	ENSMUSG00000037999	ENSMUSG00000032649	ENSMUSG00000030612
	ENSMUSG00000075171	ENSMUSG00000047347	ENSMUSG00000038011	ENSMUSG00000032796	ENSMUSG00000030652
	ENSMUSG00000077327	ENSMUSG00000047434	ENSMUSG00000038072	ENSMUSG00000032808	ENSMUSG00000030657
	ENSMUSG00000078783	ENSMUSG00000047459	ENSMUSG00000038181	ENSMUSG00000032869	ENSMUSG00000030706
	ENSMUSG00000078799	ENSMUSG00000047712	ENSMUSG00000038213	ENSMUSG00000033065	ENSMUSG00000030726
	ENSMUSG00000078853	ENSMUSG00000048546	ENSMUSG00000038274	ENSMUSG00000033166	ENSMUSG00000030744
	ENSMUSG00000079316	ENSMUSG00000048899	ENSMUSG00000038295	ENSMUSG00000033220	ENSMUSG00000030761
	ENSMUSG00000079435	ENSMUSG00000048970	ENSMUSG00000038299	ENSMUSG00000033458	ENSMUSG00000030814
	ENSMUSG00000081260	ENSMUSG00000049517	ENSMUSG00000038425	ENSMUSG00000033970	ENSMUSG00000030871
	ENSMUSG00000082151	ENSMUSG00000049926	ENSMUSG00000038702	ENSMUSG00000033991	ENSMUSG00000030930
	ENSMUSG00000082260	ENSMUSG00000049940	ENSMUSG00000038777	ENSMUSG00000034000	ENSMUSG00000031007
	ENSMUSG00000083011	ENSMUSG00000050199	ENSMUSG00000038780	ENSMUSG00000034040	ENSMUSG00000031169
	ENSMUSG00000083079	ENSMUSG00000050578	ENSMUSG00000038784	ENSMUSG00000034064	ENSMUSG00000031196
	ENSMUSG00000084234	ENSMUSG00000050763	ENSMUSG00000038843	ENSMUSG00000034160	ENSMUSG00000031209
	ENSMUSG00000084275	ENSMUSG00000051156	ENSMUSG00000038871	ENSMUSG00000034192	ENSMUSG00000031320
	ENSMUSG00000087815	ENSMUSG00000051424	ENSMUSG00000038880	ENSMUSG00000034211	ENSMUSG00000031444
	ENSMUSG00000088708	ENSMUSG00000051483	ENSMUSG00000038900	ENSMUSG00000034216	ENSMUSG00000031461
	ENSMUSG00000089078	ENSMUSG00000051768	ENSMUSG00000039001	ENSMUSG00000034259	ENSMUSG00000031488
	ENSMUSG00000090035	ENSMUSG00000051950	ENSMUSG00000039037	ENSMUSG00000034266	ENSMUSG00000031520
	ENSMUSG00000090137	ENSMUSG00000052273	ENSMUSG00000039055	ENSMUSG00000034321	ENSMUSG00000031521
	ENSMUSG00000090629	ENSMUSG00000052544	ENSMUSG00000039193	ENSMUSG00000034354	ENSMUSG00000031536
	ENSMUSG00000091086	ENSMUSG00000053916	ENSMUSG00000039209	ENSMUSG00000034674	ENSMUSG00000031601
	ENSMUSG00000092074	ENSMUSG00000054146	ENSMUSG00000039221	ENSMUSG00000034729	ENSMUSG00000031608
	ENSMUSG00000094185	ENSMUSG00000054312	ENSMUSG00000039358	ENSMUSG00000034732	ENSMUSG00000031683
	ENSMUSG00000095401	ENSMUSG00000054477	ENSMUSG00000039653	ENSMUSG00000034807	ENSMUSG00000031749
	ENSMUSG00000095920	ENSMUSG00000054582	ENSMUSG00000039680	ENSMUSG00000034880	ENSMUSG00000031767
	ENSMUSG00000096437	ENSMUSG00000056167	ENSMUSG00000039682	ENSMUSG00000034892	ENSMUSG00000031840
	ENSMUSG00000096914	ENSMUSG00000056423	ENSMUSG00000039738	ENSMUSG00000034932	ENSMUSG00000031848
	ENSMUSG00000098181	ENSMUSG00000056749	ENSMUSG00000039760	ENSMUSG00000034994	ENSMUSG00000031913
	ENSMUSG00000100448	ENSMUSG00000056901	ENSMUSG00000039774	ENSMUSG00000035031	ENSMUSG00000032040
	ENSMUSG00000100549	ENSMUSG00000057130	ENSMUSG00000039904	ENSMUSG00000035245	ENSMUSG00000032056
	ENSMUSG00000100926	ENSMUSG00000057342	ENSMUSG00000039910	ENSMUSG00000035367	ENSMUSG00000032086
	ENSMUSG00000101312	ENSMUSG00000057637	ENSMUSG00000040016	ENSMUSG00000035441	ENSMUSG00000032175
	ENSMUSG00000101427	ENSMUSG00000057841	ENSMUSG00000040037	ENSMUSG00000035632	ENSMUSG00000032192
	ENSMUSG00000106918	ENSMUSG00000057863	ENSMUSG00000040112	ENSMUSG00000035649	ENSMUSG00000032215
	ENSMUSG00000109058	ENSMUSG00000058152	ENSMUSG00000040181	ENSMUSG00000035770	ENSMUSG00000032226
	ENSMUSG00000109813	ENSMUSG00000058325	ENSMUSG00000040264	ENSMUSG00000035772	ENSMUSG00000032269
	ENSMUSG00000110991	ENSMUSG00000058600	ENSMUSG00000040269	ENSMUSG00000035960	ENSMUSG00000032298
	ENSMUSG00000111119	ENSMUSG00000058835	ENSMUSG00000040314	ENSMUSG00000036023	ENSMUSG00000032311
	ENSMUSG00000111660	ENSMUSG00000059040	ENSMUSG00000040329	ENSMUSG00000036053	ENSMUSG00000032356
	ENSMUSG00000111689	ENSMUSG00000059772	ENSMUSG00000040385	ENSMUSG00000036061	ENSMUSG00000032396
	ENSMUSG00000112051	ENSMUSG00000059776	ENSMUSG00000040481	ENSMUSG00000036197	ENSMUSG00000032399
	ENSMUSG00000112690	ENSMUSG00000059890	ENSMUSG00000040952	ENSMUSG00000036270	ENSMUSG00000032405
	ENSMUSG00000116648	ENSMUSG00000060049	ENSMUSG00000041135	ENSMUSG00000036356	ENSMUSG00000032410
	ENSMUSG00000118687	ENSMUSG00000060057	ENSMUSG00000041238	ENSMUSG00000036402	ENSMUSG00000032440
	ENSMUSG00000118708	ENSMUSG00000060679	ENSMUSG00000041408	ENSMUSG00000036478	ENSMUSG00000032454
	ENSMUSG00000118726	ENSMUSG00000060938	ENSMUSG00000041429	ENSMUSG00000036550	ENSMUSG00000032459
	ENSMUSG00000118796	ENSMUSG00000061474	ENSMUSG00000041453	ENSMUSG00000036779	ENSMUSG00000032477
	ENSMUSG00000118867	ENSMUSG00000061477	ENSMUSG00000041477	ENSMUSG00000036781	ENSMUSG00000032498
	ENSMUSG00000118880	ENSMUSG00000061665	ENSMUSG00000041616	ENSMUSG00000036860	ENSMUSG00000032512
	ENSMUSG00000118907	ENSMUSG00000061983	ENSMUSG00000041895	ENSMUSG00000037169	ENSMUSG00000032518
	ENSMUSG00000119012	ENSMUSG00000062006	ENSMUSG00000041958	ENSMUSG00000037197	ENSMUSG00000032563
	ENSMUSG00000119074	ENSMUSG00000062528	ENSMUSG00000042032	ENSMUSG00000037280	ENSMUSG00000032565
	ENSMUSG00000119118	ENSMUSG00000062624	ENSMUSG00000042042	ENSMUSG00000037296	ENSMUSG00000032566
	ENSMUSG00000119199	ENSMUSG00000062647	ENSMUSG00000042102	ENSMUSG00000037347	ENSMUSG00000032649
	ENSMUSG00000119280	ENSMUSG00000062981	ENSMUSG00000042185	ENSMUSG00000037416	ENSMUSG00000032796
	ENSMUSG00000119324	ENSMUSG00000062997	ENSMUSG00000042428	ENSMUSG00000037573	ENSMUSG00000032808
	ENSMUSG00000119383	ENSMUSG00000063120	ENSMUSG00000042558	ENSMUSG00000037578	ENSMUSG00000032869
	ENSMUSG00000119430	ENSMUSG00000063715	ENSMUSG00000042572	ENSMUSG00000037740	ENSMUSG00000033065
	ENSMUSG00000119471	ENSMUSG00000064632	ENSMUSG00000042604	ENSMUSG00000037752	ENSMUSG00000033166
	ENSMUSG00000119481	ENSMUSG00000064857	ENSMUSG00000042745	ENSMUSG00000037772	ENSMUSG00000033220
	ENSMUSG00000119523	ENSMUSG00000065080	ENSMUSG00000043463	ENSMUSG00000037868	ENSMUSG00000033458
	ENSMUSG00000119552	ENSMUSG00000065215	ENSMUSG00000043698	ENSMUSG00000038011	ENSMUSG00000033470
	ENSMUSG00000119561	ENSMUSG00000065557	ENSMUSG00000044147	ENSMUSG00000038072	ENSMUSG00000033970
	ENSMUSG00000119615	ENSMUSG00000066279	ENSMUSG00000044155	ENSMUSG00000038181	ENSMUSG00000033991
	ENSMUSG00000119685	ENSMUSG00000066324	ENSMUSG00000044254	ENSMUSG00000038213	ENSMUSG00000034000
	ENSMUSG00000119743	ENSMUSG00000067186	ENSMUSG00000044487	ENSMUSG00000038274	ENSMUSG00000034040
	ENSMUSG00000119748	ENSMUSG00000067274	ENSMUSG00000044533	ENSMUSG00000038295	ENSMUSG00000034064
	ENSMUSG00000119762	ENSMUSG00000068324	ENSMUSG00000044702	ENSMUSG00000038296	ENSMUSG00000034160
	ENSMUSG00000121647	ENSMUSG00000068615	ENSMUSG00000045102	ENSMUSG00000038299	ENSMUSG00000034192
	ENSMUSG00000121724	ENSMUSG00000068921	ENSMUSG00000045128	ENSMUSG00000038300	ENSMUSG00000034211
	ENSMUSG00000121797	ENSMUSG00000069516	ENSMUSG00000045613	ENSMUSG00000038425	ENSMUSG00000034216
	ENSMUSG00000121800	ENSMUSG00000070904	ENSMUSG00000045871	ENSMUSG00000038580	ENSMUSG00000034259
	ENSMUSG00000121801	ENSMUSG00000071000	ENSMUSG00000045883	ENSMUSG00000038644	ENSMUSG00000034266
	ENSMUSG00000121846	ENSMUSG00000071521	ENSMUSG00000046334	ENSMUSG00000038718	ENSMUSG00000034321
	ENSMUSG00001118664	ENSMUSG00000071649	ENSMUSG00000046364	ENSMUSG00000038777	ENSMUSG00000034354
		ENSMUSG00000073111	ENSMUSG00000046480	ENSMUSG00000038780	ENSMUSG00000034612
		ENSMUSG00000073435	ENSMUSG00000046718	ENSMUSG00000038784	ENSMUSG00000034674
		ENSMUSG00000073460	ENSMUSG00000046756	ENSMUSG00000038843	ENSMUSG00000034729
		ENSMUSG00000073705	ENSMUSG00000047155	ENSMUSG00000038871	ENSMUSG00000034732
		ENSMUSG00000073931	ENSMUSG00000047347	ENSMUSG00000038880	ENSMUSG00000034807
		ENSMUSG00000073967	ENSMUSG00000047379	ENSMUSG00000038900	ENSMUSG00000034880
		ENSMUSG00000074004	ENSMUSG00000047434	ENSMUSG00000039001	ENSMUSG00000034892
		ENSMUSG00000074254	ENSMUSG00000047459	ENSMUSG00000039037	ENSMUSG00000034932
		ENSMUSG00000074377	ENSMUSG00000047671	ENSMUSG00000039055	ENSMUSG00000034994
		ENSMUSG00000074417	ENSMUSG00000047712	ENSMUSG00000039187	ENSMUSG00000035031
		ENSMUSG00000074424	ENSMUSG00000048076	ENSMUSG00000039193	ENSMUSG00000035239
		ENSMUSG00000074764	ENSMUSG00000048546	ENSMUSG00000039209	ENSMUSG00000035245
		ENSMUSG00000074916	ENSMUSG00000048810	ENSMUSG00000039221	ENSMUSG00000035367
		ENSMUSG00000075085	ENSMUSG00000048899	ENSMUSG00000039307	ENSMUSG00000035441
		ENSMUSG00000075139	ENSMUSG00000048970	ENSMUSG00000039358	ENSMUSG00000035632
		ENSMUSG00000075170	ENSMUSG00000049517	ENSMUSG00000039396	ENSMUSG00000035649
		ENSMUSG00000075384	ENSMUSG00000049926	ENSMUSG00000039509	ENSMUSG00000035653
		ENSMUSG00000075470	ENSMUSG00000050578	ENSMUSG00000039639	ENSMUSG00000035770
